"rownum","Id","WorldArea","WorldAreasKeys","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","QuestFlags1","Act","QuestFlags2","QuestFlags3","QuestFlag1","string_124","ParentMapPin","MetadataId","PinProperty","QuestFlag2","string_180","string_180 (French)","string_180 (German)","string_180 (Japanese)","string_180 (Korean)","string_180 (Portuguese)","string_180 (Russian)","string_180 (Spanish)","string_180 (Thai)","string_180 (Traditional Chinese)","bool_188","i32_189","i32_193","bool_197","i32_198"
353,"G4_1_1_BlindBeastSlain",181,[],"The Blind Beast","La Bête aveugle","Die Blinde Bestie","盲目の獣","눈먼 짐승","A Fera Cega","Слепой зверь","La bestia ciega","สัตว์ร้ายตาบอด","眼盲巨獸","...even the mightiest must fall...","...un Tome gluant...\r\n\r\n<white>{Octroie deux Points de Talent d'Ensemble d'armes}","… selbst die Mächtigsten müssen fallen …","...ぬるぬるした書物だ...\r\n\r\n<white>{全ての能力値に+5}","...아무리 막강한 자도 언젠가는 몰락하게 되어 있으니...","... até os mais poderosos devem cair...","...склизкая книга...\r\n\r\n<white>{Дарует 2 очка пассивных умений для набора оружия}","...hasta los más poderosos deben caer...","...กระทั่งผู้ยิ่งใหญ่\r\nต้องพ่ายเข้าสักวัน...","……一本黏糊糊的的書……\r\n\r\n<white>{獲得兩點武器套裝天賦點數}",[873],4,[72],[],"","WorldMapContentBossDone",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBlindBeast",0,"","","","","","","","","","","","",4830,4830,1,56
354,"G4_1_1_MapFragment1",181,[],"Torn Map Piece","Morceau de Carte déchirée","Zerrissenes Kartenstück","破れた地図の切れ端","찢어진 지도 조각","Parte de Mapa Deteriorado","Обрывок карты","Trozo de mapa rasgado","แผนที่ขาด","撕碎的地圖碎片","Eaten by the Kin, naught\r\nbut a scrap remains.","Mangé par la Marmaille,\r\nil n'en reste qu'un morceau.","Von den Goblins gefressen, nichts\r\nals ein Fetzen übrig.","キンに喰われ、残るは\r\n切れ端だけ。\r\n","혈족에 먹혀 한 조각만이\r\n남아 있습니다.","Devorado pelo clã da família,\r\nsó sobrou um pedaço.","Съеден родичами,\r\nне осталось и крошки.","Devorado por el clan,\r\nno queda más que un pedazo.","ถูกพวกคินกัดกิน\r\nเหลือเพียงเศษ","被金氏吞食，僅存\r\n一絲殘渣。",[3862],4,[72],"[12,13]","","Act4/WorldMapContentTreasureMapFragments1",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinMapFragment1",0,"","","","","","","","","","","","",4830,4830,"",56
355,"G4_1_1_MapFragment1Obtained",181,[],"Torn Map Piece","Morceau de Carte déchirée","Zerrissenes Kartenstück","破れた地図の切れ端","찢어진 지도 조각","Parte de Mapa Deteriorado","Обрывок карты","Trozo de mapa rasgado","แผนที่ขาด","撕碎的地圖碎片","One piece of something greater.","Un morceau de quelque chose de plus grand.","Ein Teil eines größeren Ganzen.","より大きなものの一部。","더욱 큰 지도의 일부입니다.","Um fragmento de algo maior.","Одна часть чего-то большего.","Un fragmento de algo más grande.","ชิ้นส่วนหนึ่ง\r\nของสิ่งที่ยิ่งใหญ่กว่า","大局中的一部分。","[12,13]",4,[72],[],"","Act4/WorldMapContentTreasureMapFragments1Done",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinMapFragment1",0,"","","","","","","","","","","","",4830,4830,1,56
356,"G4_1_1_DelveChestJewellersOrb",181,[],"Doomed Mine","Mine condamnée","Todgeweihte Mine","呪われた鉱山","몰락한 광산","Mina Condenada","Заброшенная шахта","Mina condenada","เหมืองพินาศ","厄命礦坑","The Kin were not the only ones seeking sulphite.","La Marmaille n'était pas la seule à rechercher du sulfite.","Die Kin waren nicht die einzigen, die nach Sulfit suchten.","サルファイトを探しているのはキンだけではなかった。","아황산염을 찾는 것은 혈족뿐만이 아니었습니다.","O clã da família não foi o único a buscar sulfito.","Сульфит искали не только родичи.","Las vías de la oruga terminan en silencio. Herramientas rotas y luces apagadas relatan la historia de un viaje inacabado.","พวกคินไม่ใช่กลุ่มเดียว\r\nที่แสวงหาซัลไฟต์","金氏部族不是唯一一個探求硫酸的勢力。",[3862],4,[72],[7],"","WorldMapContentBag",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinDelveChestJewellersOrb",0,"","","","","","","","","","","","",4830,4830,"",56
357,"G4_1_1_DelveChestJewellersOrbObtained",181,[],"Doomed Mine","Mine condamnée","Todgeweihte Mine","呪われた鉱山","몰락한 광산","Mina Condenada","Заброшенная шахта","Mina condenada","เหมืองพินาศ","厄命礦坑","Now only rusted metal remains.","Il ne reste désormais plus que du métal rouillé.","Nun verbleibt lediglich verrostetes Metall.","もはや錆びた金属だけが残っている。","이제는 녹슨 금속만이 남아 있습니다.","Agora só resta metal enferrujado.","Теперь остался только ржавый металл.","El polvo se agita con tus pasos, pero nada responde. Lo que fuera que ocurriera aquí, hace mucho que pasó... o que se enterró.","เหลือเพียงโลหะขึ้นสนิม\r\nเพียงเท่านั้น","此地只餘下一片鏽蝕廢鐵。",[7],4,[72],[],"","WorldMapContentBagDone",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinDelveChestJewellersOrb",0,"","","","","","","","","","","","",4830,4830,1,56
358,"G4_1_1_BeastPen",181,[],"Beast Pen","Enclos de la Bête","Bestiengehege","獣の檻","야수 우리","Jaula da Fera","Загон","Corral de bestias","คอกสัตว์ร้าย","獸欄","They trap and lash animals into servitude.","Ils piègent et fouettent les animaux pour les réduire en servitude.","Sie fangen Tiere und treiben sie in die Knechtschaft.","動物を捕らえ、鞭打ち従わせる。","그들은 동물을 잡아 채찍으로 다스려 노예로 삼습니다.","Eles capturam e açoitam animais para a servidão.","Они ловят зверей и плетью заставляют их повиноваться.","Atrapan y azotan a los animales para someterlos.","พวกมันจับสัตว์\r\nมาล่ามไว้เป็นทาส","他們設下陷阱，鞭打動物，讓牠們成為奴僕。",[3862],4,[72],[158],"","WorldMapContentRareMonster",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBeastPen",0,"","","","","","","","","","","","",4830,4830,"",56
359,"G4_1_1_BeastPenSlain",181,[],"Beast Pen","Enclos de la Bête","Bestiengehege","獣の檻","야수 우리","Jaula da Fera","Загон","Corral de bestias","คอกสัตว์ร้าย","獸欄","Its body crumples, a force unleashed, now silent and still.","Son corps s'effondre, sa force enfin libérée, désormais silencieuse et immobile.","Sein Körper fällt in sich zusammen – eine entfesselte Kraft, die nun in Stille ruht.","解放されし力の肉体は崩れ落ち、もう音も立てず、動かない。","힘을 발산한 몸뚱이가 조용히, 꼼짝하지 않고 허물어져 있습니다.","O corpo dela desaba, liberando uma força. Agora, só silêncio.","Его смятое могучей силой тело теперь безмолвно и недвижимо.","Su cuerpo se derrumba, una fuerza liberada, ahora silenciosa y quieta.","ร่างของมันทรุดลง\r\nพละกำลังที่ถูกออกมา\r\nบัดนี้แน่นิ่งและเงียบงัน","它的身體癱倒，曾經被釋放的力量，如今回歸平靜。",[158],4,[72],[],"","WorldMapContentRareMonsterDone",351,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinBeastPen",0,"","","","","","","","","","","","",4830,4830,1,56
360,"G4_1_2",182,[182],"Volcanic Warrens","Les Terriers volcaniques","Vulkanische Baue","火山地帯","화산 땅굴","Galerias Vulcânicas","Вулканические лабиринты","Madrigueras volcánicas","โพรงภูเขาไฟ","火山迷窟","The roar within the mountain is no earthly fire.","Le grondement au sein de la montagne ne provient pas d'un brasier ordinaire.","Das Getöse im Inneren des Berges ist kein irdisches Feuer.","山の内から聞こえる咆哮は大地の炎などではない。","산 속에서 우르릉거리는 것은 이 세상의 불길이 아닙니다.","O rugido que vem da montanha não pertence a este mundo.","Рев внутри горы исходит не от земного пламени.","El rugido de la montaña no es un fuego terrenal.","เสียงโครมครืนใต้ขุนเขา\r\nหาได้เป็นไฟในโลกใบนี้ไม่","山中的咆哮聲並非來自地表迸發火焰。",[3862],4,[3863],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinVolcanicWarrens","","","","","","","","","","","","","",4830,4830,"",56
361,"G4_1_2_Krutog",182,[],"Krutog, Lord of Kin","Krutog, Seigneur de la Marmaille","Krutog, Herrscher der Kin","キンの領主、クルトォグ","혈족의 군주 크루톡","Krutog, o Senhor da Família","Крутог, хозяин Рода","Krutog, Señor del clan","ครูท็อก ลอร์ดแห่งคิน","金氏領主．克魯托克","The kinfolk worship a false god.","La Marmaille vénère un faux dieu.","Die Kin beten einen falschen Gott an.","キンフォークは偽りの神を信仰している。","혈족이 거짓 신을 숭배합니다.","O clã venera um falso deus.","Родичи молятся ложному богу.","La gente del clan adora a un falso dios.","พวกคินสักการะ\r\nเทพเจ้าจอมปลอม","金氏一族崇敬著一位偽神。",[3863],4,[72],[4622],"","WorldMapContentBoss",360,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinKrutog",0,"","","","","","","","","","","","",4830,4830,"",56
362,"G4_1_2_KrutogSlain",182,[],"Krutog, Lord of Kin","Krutog, Seigneur de la Marmaille","Krutog, Herrscher der Kin","キンの領主、クルトォグ","혈족의 군주 크루톡","Krutog, o Senhor da Família","Крутог, хозяин Рода","Krutog, Señor del clan","ครูท็อก ลอร์ดแห่งคิน","金氏領主．克魯托克","The kinfolk mourn their false god.","La Marmaille lamente leur faux dieu.","Die Kin trauern um ihren falschen Gott.","キンフォークが偽りの神を悼んでいる。","혈족이 거짓 신을 애도합니다.","O clã chora por seu falso deus.","Родичи оплакивают своего ложного бога.","La gente del clan llora a su falso dios.","พวกคินไว้อาลัยให้กับ\r\nเทพเจ้าจอมปลอม","金氏一族為他們的偽神哀悼。",[4622],4,[72],[],"","WorldMapContentBossDone",360,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinKrutog",0,"","","","","","","","","","","","",4830,4830,1,56
363,"G4_1_2_Rattlecages",182,[],"Magma Twins","Les Jumeaux magmatiques","Magmazwillinge","マグマツイン","마그마 쌍둥이","Gêmeos de Magma","Магмовые близнецы","Gemelos de magma","คู่แฝดหินหลอม","岩漿雙靈","Dust to dust. Flesh to stone.","De la poussière à la poussière. De la chair à la pierre.","Staub zu Staub. Fleisch zu Stein.","灰は灰に。肉は石に。","흙은 흙으로, 살은 돌로.","Pó ao pó. Carne à pedra.","Прах к праху. Плоть к камню.","Polvo en polvo. Carne en piedra.","ฝุ่นผงเป็นฝุ่นผง\r\nเนื้อหนังกลายเป็นหิน","塵歸塵，肉化岩。",[3863],4,[72],[10],"","WorldMapContentRareMonster",360,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinRattlecage",0,"","","","","","","","","","","","",4830,4830,"",56
364,"G4_1_2_RattlecagesSlain",182,[],"Magma Twins","Les Jumeaux magmatiques","Magmazwillinge","マグマツイン","마그마 쌍둥이","Gêmeos de Magma","Магмовые близнецы","Gemelos de magma","คู่แฝดหินหลอม","岩漿雙靈","Even mountains fall...","Même les montagnes peuvent tomber...","Sogar Berge stürzen ein …","山さえも倒れることはある……","산도 무너지는 법입니다...","Até as montanhas caem...","Рассыпаются даже горы...","Hasta las montañas caen...","กระทั่งขุนเขา\r\nยังพังทลายได้...","就連群山也會崩毀……",[10],4,[72],[],"","WorldMapContentRareMonsterDone",360,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinRattlecage",0,"","","","","","","","","","","","",4830,4830,1,56
365,"G4_ShipMarker_KedgeBay",183,[],"Kedge Bay","La Baie des Ancres","Ankerbucht","ケッジ湾","닻의 만","Baía Ancoreta","Кеджский залив","Bahía de las anclas","อ่าวเค็ดจ์","凱吉灣","","","","","","","","","","",[3861],4,[72],[],"","",366,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinKedgeBay","","","","","","","","","","","","","",4830,4830,"",56
366,"G4_2_1",183,[183],"Kedge Bay","La Baie des Ancres","Ankerbucht","ケッジ湾","닻의 만","Baía Ancoreta","Кеджский залив","Bahía de las anclas","อ่าวเค็ดจ์","凱吉灣","The fog hides dangers both real and imagined.","Le brouillard dissimule des dangers à la fois réels et imaginaires.","Der Nebel birgt sowohl reale als auch imaginäre Gefahren.","霧は現実の危険と想像上の危険を隠している。","안개가 현실 속의 위험과 상상 속의 위험을 모두 숨기고 있습니다.","A névoa esconde ameaças reais e imaginárias.","Туман скрывает опасности реальные и воображаемые.","La niebla oculta peligros tanto reales como imaginarios.","หมอกบดบังภยันตราย\r\nทั้งภัยที่มีจริง\r\nและภัยในจินตนาการ","霧霾中隱藏著實際存在以及想像的危險。",[3861],4,[3864],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinKedgeBay","","","","","","","","","","","","","",4830,4830,"",56
