"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","HASH32","PlaystationText","string_44"
815,"RuneRockReactivatorContent","Grants your Summoning Circle an additional use.","Grants your Summoning Circle an additional use.","Gewährt Eurem Beschwörungskreis eine zusätzliche Nutzung.","サモニングサークルに追加の使用回数1回を付与する","소환의 원을 추가로 사용할 수 있게 해 줍니다.","Concede 1 uso adicional ao seu círculo de invocação.","Позволяет ещё раз использовать круг призыва.","Otorga un uso adicional a tu círculo de Invocación.","ทำให้วงศิลาอัญเชิญของคุณใช้งานได้เพิ่มเติม 1 ครั้ง","賦予你的召喚法陣一次額外使用次數。","","","","","","","","","","","",1301624580,"",""
816,"EndgameRegionActionButtonHoverTwoBreachstonesErrorDescription","Requires 2x [BreachstoneCurrency|Breachstone] due to `Tear Open the Rift: Major Breach` Atlas Passive Skill","Requires 2x [BreachstoneCurrency|Breachstone] due to `Tear Open the Rift: Major Breach` Atlas Passive Skill","Erfordert 2x [BreachstoneCurrency|Riss-Stein] aufgrund der zugewiesenen Atlas-Fertigkeit 'Die Kluft aufreißen: Großer Riss'","「リフトを切り裂け: 巨大なブリーチ」アトラスパッシブスキルを選択しているため、2個の[BreachstoneCurrency|Breachstone]が必要","아틀라스 패시브 스킬 '균열 열기: 주요 균열'로 인해 [Breachstone|균열석]이 2배로 필요합니다.","Requer 2 [BreachstoneCurrency|Pedras de Fenda] devido à habilidade passiva do Atlas \""Abrir a Fenda: Fenda Maior\""","Требует 2 [BreachstoneCurrency|камня Разлома] в связи с пассивным умением Атласа «Разрыв в Разломе: Большой прорыв»","Requiere 2 [BreachstoneCurrency|piedras de fisura] por la habilidad pasiva del Atlas \""Destrozar la grieta: fisura mayor\""","ต้องการ 2x [BreachstoneCurrency|ศิลาบรีช] เนื่องจากมีพาสซีฟแอตลาส 'Tear Open the Rift: บรีชใหญ่'","由於配置了\""撕開裂口：主要裂痕\""輿圖天賦，因此需求2x[BreachstoneCurrency|裂痕石]","","","","","","","","","","","",3512139070,"",""
817,"EndgameRegionActionButtonHoverGenericErrorDescriptionX","Requires {0}x {1}","Requires {0}x {1}","Erfordert {0}x {1}","{0}個の{1}が必要","{1} x{0} 필요","Requer {0} {1}","Требуется: {1} ({0} шт.)","Requiere {0}x {1}","ต้องการ {0}x {1}","需求 {0}x {1}","","","","","","","","","","","",3251684587,"",""
818,"EndgameRegionActionButtonHoverGenericAcceptedDescriptionX","Consumes {0}x {1}","Consumes {0}x {1}","Verbraucht {0}x {1}","{0}個の{1}を消費","{1} x{0} 소모","Consome {0} {1}","Расходуется: {1} ({0} шт.)","Consume {0}x {1}","ใช้ {0}x {1}","消耗 {0}x {1}","","","","","","","","","","","",297011762,"",""
819,"BreachHiveFortressCompletion","Destroy the Breach and Escape","Destroy the Breach and Escape","Vernicht den Riss und entkommt","ブリーチを破壊し脱出しろ","균열을 파괴하고 탈출하기","Destrua a fenda e fuja","Уничтожьте Разлом и безопасно покиньте его","Destruye la fisura y escapa","ทำลายบรีชแล้วหลบหนี","摧毀裂痕並逃離","","","","","","","","","","","",3252510778,"",""
820,"GamepadActionFilterOptions","Filter Options","Filter Options","Filteroptionen","フィルターオプション","필터 옵션","Opções de Filtro","Настройки фильтра","Opciones de filtros","ตัวเลือกในการค้นหา","過濾器選項","","","","","","","","","","","",52629806,"",""
821,"GamepadMarketPriceCheckHistoryEntryName","Price Check","Price Check","Preisvergleich","価格チェック","가격 확인","Verificação de Preço","Проверка цены","Comparación de precios","ตรวจสอบราคา","查價","","","","","","","","","","","",3829436248,"",""
822,"GamepadMarketCategoryHistoryEntryName","Category","Category","Kategorie","カテゴリー","유형","Categoria","Категория","Categoría","หมวดหมู่","分類","","","","","","","","","","","",2040963399,"",""
823,"GamepadMarketItemTypeHistoryEntryName","Item Type","Item Type","Gegenstandstyp","アイテムタイプ","아이템 유형","Tipo de Item","Тип предмета","Tipo de objeto","ชนิดไอเทม","物品類型","","","","","","","","","","","",508020546,"",""
824,"SimulacrumEscalationChoiceElites","[DeliriumPureEmotions|Pure Emotions]","[DeliriumPureEmotions|Pure Emotions]","[DeliriumPureEmotions|Reine Emotionen]","[DeliriumPureEmotions|純粋な感情]","[DeliriumPureEmotions|순수한 감정]","[DeliriumPureEmotions|Emoções Puras]","[DeliriumPureEmotions|Чистые эмоции]","[DeliriumPureEmotions|Emociones puras]","[DeliriumPureEmotions|อารมณ์บริสุทธิ์]","[DeliriumPureEmotions|純粹情感]","","","","","","","","","","","",254365587,"",""
825,"SimulacrumEscalationChoiceElitesDescription","Spawns additional Monsters","Spawns additional Monsters","Beschwört zusätzliche Monster","追加のモンスターをスポーンさせる","추가 몬스터 생성","Gera monstros adicionais","Порождает дополнительных монстров","Genera monstruos adicionales","เรียกมอนสเตอร์ เพิ่มเติม","生成額外怪物","","","","","","","","","","","",4219197694,"",""
826,"SimulacrumEscalationChoiceBosses","[DeliriumApexPredators|Apex Predators]","[DeliriumApexPredators|Apex Predators]","[DeliriumApexPredators|Spitzenprädatoren]","[DeliriumApexPredators|頂点の捕食者]","[DeliriumApexPredators|정점의 포식자]","[DeliriumApexPredators|Predadores do Apogeu]","[DeliriumApexPredators|Высшие хищники]","[DeliriumApexPredators|Depredadores alfa]","[DeliriumApexPredators|ยอดนักล่า]","[DeliriumApexPredators|頂尖掠食者]","","","","","","","","","","","",2206092788,"",""
827,"SimulacrumEscalationChoiceBossesDescription","Spawn an additional Boss","Spawn an additional Boss","Beschwört einen zusätzlichen Boss","ボスを追加で1体スポーンさせる","보스 1마리 추가 생성","Gera um chefe adicional","Порождает дополнительного босса","Genera un jefe adicional","เรียกบอส เพิ่มเติม 1 ตัว","生成一名額外頭目","","","","","","","","","","","",2019520377,"",""
828,"SimulacrumEscalationChoiceMods","[DeliriumEscalatingThreats|Escalating Threats]","[DeliriumEscalatingThreats|Escalating Threats]","[DeliriumEscalatingThreats|Zunehmende Bedrohungen]","[DeliriumEscalatingThreats|激化する脅威]","[DeliriumEscalatingThreats|격화되는 위협]","[DeliriumEscalatingThreats|Ameaças Crescentes]","[DeliriumEscalatingThreats|Растущие угрозы]","[DeliriumEscalatingThreats|Amenazas crecientes]","[DeliriumEscalatingThreats|ภัยท่วมท้น]","[DeliriumEscalatingThreats|升級威脅]","","","","","","","","","","","",1075494275,"",""
829,"SimulacrumEscalationChoiceModsDescriptions","Adds an Area Modifier","Adds an Area Modifier","Fügt einen Gebietsmodifikator hinzu","エリアモッドを1個追加する","지역 속성 1개 추가","Adiciona um modificador de área","Добавляет свойство области","Agrega un modificador de área","เพิ่มม็อดด่าน 1 อย่าง","添加一條區域詞綴","","","","","","","","","","","",3137052279,"",""
830,"BreachTreeSlotPointsHoverPopup","<size:+5>{{{0}/{1} Points Unlocked}}\r\n<grey>{{Complete the Keepers of the Flame quest and allocate\nnodes on your Breach Atlas Tree to unlock more points.}}","<size:+5>{{{0}/{1} Points Unlocked}}\r\n<grey>{{Complete the Keepers of the Flame quest and allocate\nnodes on your Breach Atlas Tree to unlock more points.}}","<size:+5>{{{0}/{1} Punkte freigeschaltet}}\r\n<grey>{{Schließe die Quest 'Hüter der Flamme' ab und weise die\nPunkte in deinem Riss-Atlasbaum zu, um weitere Punkte freizuschalten.}}","<size:+5>{{{0}/{1} ポイントアンロック済み}}\r\n<grey>{{炎の守護者クエストを完了すれば\nブリーチアトラスツリーのノードを割り当てるために使用できるポイントをさらにアンロックできる}}","<size:+5>{{{0}/{1}포인트 잠금 해제}}\r\n<grey>{{불길의 수호자들 퀘스트를 완료하고 균열 아틀라스 트리의\n노드를 할당하여 포인트를 더 획득하십시오.}}","<size:+5>{{{0}/{1} pontos desbloqueados}}\r\n <grey>{{Conclua a missão \""Protetores da Chama\"" e atribua\nnós em sua árvore do Atlas da Fenda para desbloquear mais pontos.}}","<size:+5>{{Разблокировано очков: {0}/{1}}}\r\n<grey>{{Выполните задание «Хранители Пламени» и выберите\nузлы на вашем древе Разлома в Атласе, чтобы разблокировать больше очков.}}","<size:+5>{{Puntos desbloqueados: {0}/{1}}}\r\n<grey>{{Completa la misión Protectores de la llama y asigna\nlos nodos de tu árbol del atlas de fisura para desbloquear más puntos.}}","<size:+5>{{ปลดล็อกไปแล้ว {0}/{1} แต้ม}}\r\n<grey>{{ทำเควสต์ กลุ่มผู้ธำรงเพลิง และอัพแต้มในตารางพาสซีฟแอตลาสบรีชเพื่อปลดล็อกแต้มอื่นๆ}}","<size:+5>{{已解鎖 {0}/{1} 點}}\r\n<grey>{{完成黯焰看守者任務並\n配置你的裂痕輿圖天賦樹以解鎖更多點數。}}","","","","","","","","","","","",1129997511,"",""
831,"GamepadMarketEditStatFilterGroupTitle","Edit Stat Filter Group","Edit Stat Filter Group","Eigenschaftsfiltergruppe bearbeiten","ステータスフィルターグループを編集","능력치 필터 그룹 편집","Editar grupo de filtros estatísticos","Изменить группу фильтров","Editar grupo de filtros de estadísticas","แก้ไขกลุ่มตัวกรองม็อด","編輯數值過濾器群組","","","","","","","","","","","",1185242453,"",""
832,"GamepadActionQuickSelect","Quick Select","Quick Select","Schnellauswahl","クイック選択","빠른 선택","Seleção Rápida","Быстрый выбор","Selección rápida","เลือกแบบรวดเร็ว","快速選取","","","","","","","","","","","",1665832736,"",""
833,"BulkQuickUseModePrompt","Bulk Use Mode","Bulk Use Mode","Modus 'Alles verschieben'","バルク使用モード","대량 사용 모드","Modo Uso em Massa","Быстрое использование","Modo de uso en lotes","โหมดใช้เป็นชุด","批量使用模式","","","","","","","","","","","",3057917495,"",""
834,"ItemDisplayGrantsSkillModified","Level {1} {0} (Max Level {2})","Level {1} {0} (Max Level {2})","Stufe {1} {0} (Max. Stufe {2})","レベル {1} {0} (最大レベル {2})","{1}레벨 {0} (최대 레벨 {2})","Nível {1} {0} (Nível máx. {2})","{0} {1} уровня (Макс. уровень {2})","{0} de nivel {1} (nivel máx. {2})","เลเวล {1} {0} (เลเวลสูงสุด {2})","等級 {1} {0} (最大等級 {2})","","","","","","","","","","","",340189373,"",""
835,"RemnantRecipeLevelXSkillGemAutoDescription","Skill Level {0}: {1}","Skill Level {0}: {1}","Fertigkeitsstufe {0}: {1}","スキルレベル {0}: {1}","스킬 레벨 {0}: {1}","Nível da Habilidade {0}: {1}","Уровень умения {0}: {1}","Nivel de habilidad {0}: {1}","สกิลเลเวล {0}: {1}","技能等級 {0}：{1}","","","","","","","","","","","",3994806962,"",""
836,"ObjectDisplayTextDive","Dive","Plonger","Hinabtauchen","飛び込む","잠수","Mergulhar","Нырнуть","Saltar","ดำน้ำ","潛入","","","","","","","","","","","",3993150663,"",""
