"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool"
264,659,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Shaper or Elder Weapon item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
265,660,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Shaper or Elder Trinket item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
266,661,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Elder Map item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
267,662,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Breach item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
268,663,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds incubated valuable Currency Shards or a Harbinger item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
269,664,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated high level Corrupted Gem or valuable Gem item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
270,665,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
271,666,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Quality Gem item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
272,667,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Bestiary item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
273,668,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Blight item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
274,669,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Metamorph item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
275,670,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Delirium item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
276,671,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Essence item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
277,672,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Currency item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
278,673,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Unique item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
279,674,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Map item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
280,675,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Unique Map item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
281,676,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Rare Abyss item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
282,677,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Fragment item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
283,678,10,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Scarab item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.",""
