"rownum","Id","i32","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
567,"KillRareGreatRhoa",1,55,"Great Rhoa","Great Rhoa","Großer Rhoa","Great Rhoa","대형 로아","Grande Rhoa","Крупный роа","Gran Rhoa","Great Rhoa","巨型恐喙鳥",1,8,"",1,"",1
568,"KillRareCaveCrustacean",1,56,"Cave Crustacean","Cave Crustacean","Höhlenkruster","Cave Crustacean","동굴 갑각류","Crustáceo de Caverna","Пещерный краб","Crustáceo de Cueva","Cave Crustacean","洞穴甲蟹",1,8,"",1,"",1
569,"KillRareSirensSpawn",1,57,"Siren's Spawn","Siren's Spawn","Sirenen-Ausgeburt","Siren's Spawn","사이렌의 유충","Cria de Sereia","Отпрыск сирены","Engendro de Sirena","Siren's Spawn","海妖幼體",1,8,"",1,"",1
570,"KillRareCursedSpawn",1,58,"Cursed Spawn","Cursed Spawn","Verfluchte Ausgeburt","Cursed Spawn","저주받은 유충","Cria Amaldiçoada","Проклятое семя","Engendro Maldito","Cursed Spawn","詛咒海蟲",1,8,"",1,"",1
571,"KillRareFleshEater",1,59,"Flesh Eater","Flesh Eater","Fleischnager","Flesh Eater","살점 포식자","Devorador de Carne","Мясоед","Devorador de Carne","Flesh Eater","屍骸清除者",1,8,"",1,"",1
572,"KillRareMerveilsDaughter",1,60,"Merveil's Daughter","Merveil's Daughter","Merveils Tochter","Merveil's Daughter","머베일의 딸","Filha de Merveil","Дочь Мервейл","Hija de Merveil","Merveil's Daughter","海妖之女",1,8,"",1,"",1
573,"KillRareRattlingBones",1,61,"Rattling Bones","Rattling Bones","Klappernde Knochen","Rattling Bones","덜컹대는 뼈","Ossos Ruidosos","Шаткий скелет","Huesos Traqueteantes","Rattling Bones","逝者枯骨",1,8,"",1,"",1
574,"KillRareAncientArcher",1,62,"Ancient Archer","Ancient Archer","Uralter Bogenschütze","Ancient Archer","고대 궁수","Arqueiro Antigo","Древний лучник","Arquero Ancestral ","Ancient Archer","遠古之弓",1,8,"",1,"",1
575,"KillRareBurningBowman",1,63,"Burning Bowman","Burning Bowman","Lodernder Bogenschütze","Burning Bowman","불타는 활잡이","Arqueiro Ardente","Горящий стрелок","Arquero en Llamas","Burning Bowman","火弓枯骨",1,8,"",1,"",1
576,"KillRareGoatman",1,64,"Goatman","Goatman","Ziegenmensch","Goatman","염소인간","Homem-Cabra","Козерог","Hombre Cabra ","Goatman","堅蹄羊人",1,8,"",1,"",1
577,"KillRareDuneHellion",1,65,"Dune Hellion","Dune Hellion","Dünenlöwe","Dune Hellion","사구 헬리온","Leão da Duna","Песчаный лев","Fiera de las Dunas","Dune Hellion","沙丘地獄犬",1,8,"",1,"",1
578,"KillRareFlameHellion",1,66,"Flame Hellion","Flame Hellion","Flammenlöwe","Flame Hellion","화염 헬리온","Leão da Chama","Огненный лев","Fiera de Fuego","Flame Hellion","烈炎地獄犬",1,8,"",1,"",1
579,"KillRareBrittleThief",1,67,"Brittle Thief","Brittle Thief","Spröder Dieb","Brittle Thief","말라붙은 도둑","Ladrão Quebradiço","Гадкий вор","Ladrón Quebradizo","Brittle Thief","盜賊殘骨",1,8,"",1,"",1
580,"KillRareRottingDamned",1,68,"Rotting Damned","Rotting Damned","Verwesender Verfluchter","Rotting Damned","썩어가는 망자","Maldito Apodrecido","Окаянный мертвец","Condenado Podrido","Rotting Damned","咒怨腐屍",1,8,"",1,"",1
581,"KillRareNecromancer",1,69,"Necromancer","Necromancer","Nekromant","Necromancer","네크로맨서","Necromante","Некромант","Nigromante","Necromancer","死靈法師",1,8,"",1,"",1
582,"KillRareBrittlePoacher",1,70,"Brittle Poacher","Brittle Poacher","Spröder Wilderer","Brittle Poacher","말라붙은 밀렵꾼","Larápio Quebradiço","Гадкий охотник","Cazador Furtivo Quebradizo","Brittle Poacher","盜獵者殘骨",1,8,"",1,"",1
583,"KillRareAxiomThunderguard",1,71,"Axiom Thunderguard","Axiom Thunderguard","Axiom-Donnerwache","Axiom Thunderguard","액시옴 천둥수호병","Guarda-Trovão Doutrinado","Громовержец","Guardia de Trueno Axiom","Axiom Thunderguard","雷電獄衛",1,8,"",1,"",1
584,"KillRareAxiomFrostguard",1,72,"Axiom Frostguard","Axiom Frostguard","Axiom-Frostwache","Axiom Frostguard","액시옴 서리수호병","Guarda-Gelo Doutrinado","Хладный страж","Guardia de Hielo Axiom","Axiom Frostguard","冰霜獄衛",1,8,"",1,"",1
585,"KillRareDiabolist",1,73,"Diabolist","Diabolist","Diabolist","Diabolist","악마술사","Diabolista","Чернокнижник","Diabolista","Diabolist","惡魔咒師",1,8,"",1,"",1
586,"KillRareHighlandHellion",1,74,"Highland Hellion","Highland Hellion","Hochlandlöwe","Highland Hellion","고지대 헬리온","Leão da Terra Alta","Скальный лев","Fiera de Montaña","Highland Hellion","高原地獄犬",1,8,"",1,"",1
587,"KillRareBeardedDevil",1,75,"Bearded Devil","Bearded Devil","Bärtiger Teufel","Bearded Devil","염소인간 악마","Diabo Barbado","Бородач","Diablo Barbudo","Bearded Devil","長鬚羊人",1,8,"",1,"",1
588,"KillRareSpectralCorsair",1,76,"Spectral Corsair","Spectral Corsair","Spektraler Korsar","Spectral Corsair","유령 해적","Corsário Espectral","Бесплотный пират","Corsario Especral","Spectral Corsair","海盜怨靈",1,8,"",1,"",1
589,"KillRareMurkRunner",1,77,"Murk Runner","Murk Runner","Düsterläufer","Murk Runner","암흑 질주자","Corredor da Escuridão","Могильный бегун","Corredor Sombrío","Murk Runner","陰暗恐喙鳥",1,8,"",1,"",1
590,"KillRareMerveilsChosen",1,78,"Merveil's Chosen","Merveil's Chosen","Merveils Auserwählte","Merveil's Chosen","머베일에 선택받은 자","Escolhido de Merveil","Избранница Мервейл","Elegido de Merveil","Merveil's Chosen","海妖愛女",1,8,"",1,"",1
591,"KillRareSeethingBrine",1,79,"Seething Brine","Seething Brine","Siedende Gischt","Seething Brine","들끓는 해수","Salmoura Fervente","Кипучая мокреть","Furia Salina","Seething Brine","活水之靈",1,8,"",1,"",1
592,"KillRareCursedMariner",1,80,"Cursed Mariner","Cursed Mariner","Verfluchter Seefahrer","Cursed Mariner","저주받은 선원","Marinheiro Amaldiçoado","Проклятый моряк","Marinero Maldito","Cursed Mariner","水手咒靈",1,8,"",1,"",1
593,"KillRareGluttonousGull",1,81,"Gluttonous Gull","Gluttonous Gull","Gefräßige Möwe","Gluttonous Gull","걸신들린 갈매기","Gaivota Glutona","Ненасытная утроба","Gaviota Glotona","Gluttonous Gull","狂食反芻鳥",1,8,"",1,"",1
594,"KillRareFetidShambler",1,82,"Fetid Shambler","Fetid Shambler","Fäulnisschlenkerer","Fetid Shambler","악취 나는 도축자","Trôpego Fétido","Вонючий ходок","Carroña Fétida","Fetid Shambler","瀝青跛屍",1,8,"",1,"",1
595,"KillRareScrabblingMenace",1,83,"Scrabbling Menace","Scrabbling Menace","Scharrende Plage","Scrabbling Menace","긁어대는 위협","Ameaça Agarradora","Скребучая погань","Amenaza Escarbadora","Scrabbling Menace","利爪沙蟹",1,8,"",1,"",1
596,"KillRareMerveilsFavoured",1,84,"Merveil's Favoured","Merveil's Favoured","Merveils Bevorzugte","Merveil's Favoured","머베일의 총애자","Favorito de Merveil","Любимица Мервейл","El Favorito de Merveil","Merveil's Favoured","莫薇兒的幼女",1,8,"",1,"",1
597,"KillRareSlimyBloodsucker",1,85,"Slimy Bloodsucker","Slimy Bloodsucker","Schleimiger Blutsauger","Slimy Bloodsucker","물컹한 거머리","Sanguessuga Viscosa","Осклизлый кровосос","Chupasangre Babosa","Slimy Bloodsucker","洞窟吸血怪",1,8,"",1,"",1
598,"KillRareAshenBuccaneer",1,86,"Ashen Buccaneer","Ashen Buccaneer","Aschfahler Freibeuter","Ashen Buccaneer","핏기 없는 해적","Corsário Pálido","Пепельный пират","Bucanero Ceniciento","Ashen Buccaneer","冥語海盜",1,8,"",1,"",1
599,"KillRareSpectralBowman",1,87,"Spectral Bowman","Spectral Bowman","Spektralbogenschütze","Spectral Bowman","유령 활잡이","Arqueiro Espectral","Призрачный лучник","Arquero Espectral","Spectral Bowman","怨靈之弓",1,8,"",1,"",1
600,"KillRareMerveilsAttendant",1,88,"Merveil's Attendant","Merveil's Attendant","Merveils Dienerin","Merveil's Attendant","머베일의 수행원","Assistente de Merveil","Слуга Мервейл","Asistente de Merveil","Merveil's Attendant","莫薇兒的侍女",1,8,"",1,"",1
601,"KillRareObsidianEater",1,89,"Obsidian Eater","Obsidian Eater","Obsidianfresser","Obsidian Eater","흑요석 포식자","Devorador de Obsidiana","Обсидиановый плевун","Devorador Obsidiano","Obsidian Eater","黑曜沙蟹",1,8,"",1,"",1
602,"KillRareBloodChieftain",1,90,"Blood Chieftain","Blood Chieftain","Blut-Stammesführer","Blood Chieftain","피의 부족장","Cacique de Sangue","Вожак обезьян","Cacique de Sangre","Blood Chieftain","血面酋長",1,8,"",1,"",1
603,"KillRareBloodApe",1,91,"Blood Ape","Blood Ape","Blutaffe","Blood Ape","피의 유인원","Símio de Sangue","Кровавая обезьяна","Simio de Sangre ","Blood Ape","血面狂猿",1,8,"",1,"",1
604,"KillRareKraitynsScout",1,92,"Kraityn's Scout","Kraityn's Scout","Kundschafter Kraityns","Kraityn's Scout","크레이틴의 정찰병","Batedor de Kraityn","Разведчик Крайтина","Explorador de Kraityn","Kraityn's Scout","克雷頓的哨兵",1,8,"",1,"",1
605,"KillRareCarnageApe",1,93,"Carnage Ape","Carnage Ape","Blutrauschaffe","Carnage Ape","학살의 유인원","Símio da Carnificina","Обезьяна-убийца","Simio de Matanza","Carnage Ape","殺戮狂猿",1,8,"",1,"",1
606,"KillRareRuinedTitan",1,94,"Ruined Titan","Ruined Titan","Verderbter Titan","Ruined Titan","폐허의 거신","Titã Infestado","Каменный гигант","Titán Arruinado","Ruined Titan","廢墟石像",1,8,"",1,"",1
607,"KillRareCaveBeast",1,95,"Cave Beast","Cave Beast","Höhlenbestie","Cave Beast","동굴 야수","Besta da Caverna","Пещерный зверь","Bestia de Cueva","Cave Beast","洞穴獸",1,8,"",1,"",1
608,"KillRareCaveSkitterer",1,96,"Cave Skitterer","Cave Skitterer","Höhlenhuscher","Cave Skitterer","동굴 잽싼거미","Deslizadora da Caverna","Пещерный ползун","Arácnido de Cueva","Cave Skitterer","洞穴沙蛛",1,8,"",1,"",1
609,"KillRareBarrowApe",1,97,"Barrow Ape","Barrow Ape","Tumulusaffe","Barrow Ape","무덤의 유인원","Símio da Tumba","Курганная обезьяна","Simio Capado","Barrow Ape","遺塚狂猿",1,8,"",1,"",1
610,"KillRareStalagNightmare",1,98,"Stalag Nightmare","Stalag Nightmare","Lageralbtraum","Stalag Nightmare","포로수용소의 악몽","Pesadelo Stalag","Сталагмитовый ужас","Pesadilla Aprisionante","Stalag Nightmare","夢魘石像",1,8,"",1,"",1
611,"KillRareKraitynsAspirant",1,99,"Kraityn's Aspirant","Kraityn's Aspirant","Aspirant Kraityns","Kraityn's Aspirant","크레이틴의 지원자","Aspirante de Kraityn","Прихлебатель Крайтина","Aspirante de Kraityn","Kraityn's Aspirant","克雷頓的志士",1,8,"",1,"",1
612,"KillRareBoneCruncher",1,100,"Bone Cruncher","Bone Cruncher","Knochenmalmer","Bone Cruncher","뼈 깨물이","Triturador de Ossos","Костолом","Mascahuesos","Bone Cruncher","碎骨獸",1,8,"",1,"",1
613,"KillRareHulkingTitan",1,101,"Hulking Titan","Hulking Titan","Brachialer Titan","Hulking Titan","육중한 거신","Titã Brutamontes","Громадина","Titán Imponente","Hulking Titan","沉重石像",1,8,"",1,"",1
614,"KillRareStygianApe",1,102,"Stygian Ape","Stygian Ape","Schauerlicher Affe","Stygian Ape","명계의 유인원","Símio Infernal","Стигийская обезьяна","Simio Estigio","Stygian Ape","冥渡狂猿",1,8,"",1,"",1
615,"KillRareKraitynsThrall",1,103,"Kraityn's Thrall","Kraityn's Thrall","Leibeigener Kraityns","Kraityn's Thrall","크레이틴의 예속자","Escravo de Kraityn","Раб Крайтина","Esclavo de Kraityn","Kraityn's Thrall","克雷頓的跟隨者",1,8,"",1,"",1
616,"KillRareKraitynsSniper",1,104,"Kraityn's Sniper","Kraityn's Sniper","Scharfschütze Kraityns","Kraityn's Sniper","크레이틴의 저격수","Franco-Atirador de Kraityn","Лучник Крайтина","Tirador de Kraityn","Kraityn's Sniper","克雷頓的狙擊手",1,8,"",1,"",1
617,"KillRareRumblingMass",1,105,"Rumbling Mass","Rumbling Mass","Grollender Riese","Rumbling Mass","움직이는 돌덩이","Massa Estrondosa","Грохочущая груда","Masa Retumbante","Rumbling Mass","雷鳴石像",1,8,"",1,"",1
618,"KillRareHairyBonecruncher",1,106,"Hairy Bonecruncher","Hairy Bonecruncher","Haariger Knochenmalmer","Hairy Bonecruncher","털투성이 뼈깨물이","Triturador de Ossos Cabeludo","Лохматый костолом","Mascahuesos Peludo","Hairy Bonecruncher","長毛碎骨獸",1,8,"",1,"",1
619,"KillRareBrittleCleric",1,107,"Brittle Cleric","Brittle Cleric","Spröder Kleriker","Brittle Cleric","말라붙은 성직자","Clérigo de Batalha","Истлевший клирик","Clérigo Quebradizo","Brittle Cleric","聖徒遺骨",1,8,"",1,"",1
620,"KillRareFlamePriest",1,108,"Flame Priest","Flame Priest","Flammenpriester","Flame Priest","화염 사제","Sacerdote da Chama","Огненный жрец","Sacerdote de Llamas","Flame Priest","火炎聖骨",1,8,"",1,"",1
621,"KillRareFrostPriest",1,109,"Frost Priest","Frost Priest","Frostpriester","Frost Priest","서리 사제","Sacerdote do Gelo","Морозный жрец","Sacerdote de Hielo","Frost Priest","冰霜聖骨",1,8,"",1,"",1
622,"KillRareThunderPriest",1,110,"Thunder Priest","Thunder Priest","Donnerpriester","Thunder Priest","천둥 사제","Sacerdote do Trovão","Громовой жрец","Sacerdote de Trueno","Thunder Priest","雷電聖骨",1,8,"",1,"",1
623,"KillRareCryptWeaver",1,111,"Crypt Weaver","Crypt Weaver","Gruftweber","Crypt Weaver","지하실 직공","Fiandeira da Cripta","Могильный ткач","Tejedora de la Cripta","Crypt Weaver","深穴巨蛛",1,8,"",1,"",1
624,"KillRareDefiler",1,112,"Defiler","Defiler","Schänder","Defiler","모독자","Profanador","Осквернитель","Profanador","Defiler","玷汙咒師 ",1,8,"",1,"",1
625,"KillRareVaultGuardian",1,113,"Vault Guardian","Vault Guardian","Gewölbewächter","Vault Guardian","금고 수호자","Guardião do Cofre","Страж усыпальницы","Guardián de Bóveda","Vault Guardian","寶庫守護者",1,8,"",1,"",1
626,"KillRareFrostBishop",1,114,"Frost Bishop","Frost Bishop","Frostbischof","Frost Bishop","서리 주교","Bispo do Gelo","Морозный епископ","Obispo de Escarcha","Frost Bishop","冰霜教士",1,8,"",1,"",1
627,"KillRareFlameBishop",1,115,"Flame Bishop","Flame Bishop","Flammenbischof","Flame Bishop","화염 주교","Bispo da Chama","Огненный епископ","Obispo de Fuego","Flame Bishop","火炎教士",1,8,"",1,"",1
628,"KillRareThunderBishop",1,116,"Thunder Bishop","Thunder Bishop","Donnerbischof","Thunder Bishop","천둥 주교","Bispo do Trovão","Громовой епископ","Obispo de Rayos","Thunder Bishop","雷電教士",1,8,"",1,"",1
629,"KillRareSinArcher",1,117,"Sin Archer","Sin Archer","Sündenbogenschütze","Sin Archer","죄악의 궁수","Arqueiro do Pecado","Грешный лучник","Arquero de Pecados","Sin Archer","罪惡之弓",1,8,"",1,"",1
630,"KillRareSuturedAberration",1,118,"Sutured Aberration","Sutured Aberration","Geflickte Anomalie","Sutured Aberration","봉합된 변이","Aberração Suturada","Сшитый уродец","Aberración Suturada","Sutured Aberration","纏絲腐屍",1,8,"",1,"",1
631,"KillRareSpindleSpider",1,119,"Spindle Spider","Spindle Spider","Spindelspinne","Spindle Spider","물레 거미","Aranha da Roca","Веретенник","Araña Tejedora","Spindle Spider","長足巨蛛",1,8,"",1,"",1
632,"KillRareSinLord",1,120,"Sin Lord","Sin Lord","Sündenfürst","Sin Lord","죄악의 군주","Senhor do Pecado","Владыка греха","Señor del Pecado","Sin Lord","惡咒之主",1,8,"",1,"",1
633,"KillRarePlaguedBowman",1,121,"Plagued Bowman","Plagued Bowman","Verseuchter Bogenschütze","Plagued Bowman","역병 활잡이","Arqueiro Atormentado","Чумной стрелок","Arquero Pestilente","Plagued Bowman","疫源之弓",1,8,"",1,"",1
634,"KillRareMutantArach",1,122,"Mutant Arach","Mutant Arach","Mutantenspinne","Mutant Arach","변종 거미","Aracnídeo Mutante","Паучий выродок","Araña Mutante","Mutant Arach","異變魔蛛",1,8,"",1,"",1
635,"KillRareBoneWarden",1,123,"Bone Warden","Bone Warden","Knochenwächter","Bone Warden","뼈 간수","Guardião de Ossos","Костяной сторож","Guardia de Huesos","Bone Warden","靈骸守衛",1,8,"",1,"",1
636,"KillRareCorruptedArach",1,124,"Corrupted Arach","Corrupted Arach","Verderbte Spinne","Corrupted Arach","타락한 거미","Aracnídeo Corrompido","Зараженный арахнид","Araña Corrupta","Corrupted Arach","墮魂巨蛛",1,8,"",1,"",1
637,"KillRareSparkingMage",1,125,"Sparking Mage","Sparking Mage","Funkenmagier","Sparking Mage","전기불꽃 마법사","Mago Faiscante","Маг искр","Mago Chispeante","Sparking Mage","雷能枯靈",1,8,"",1,"",1
638,"KillRareSparkingBones",1,126,"Sparking Bones","Sparking Bones","Funkenknochen","Sparking Bones","전기불꽃 뼈","Ossos Faiscantes","Искристый костяк","Huesos Chispeantes","Sparking Bones","雷能枯骨",1,8,"",1,"",1
639,"KillRareCallowThug",1,127,"Callow Thug","Callow Thug","Unerfahrener Dieb","Callow Thug","풋내기 불량배","Bandido Inexperiente","Головорез","Matón Inexperto","Callow Thug","喪心惡徒",1,8,"",1,"",1
640,"KillRareCallowSniper",1,128,"Callow Sniper","Callow Sniper","Unerfahrener Scharfschütze","Callow Sniper","풋내기 저격수","Franco-Atirador Inexperiente","Болотный охотник","Tirador Inexperto","Callow Sniper","喪心狙擊手",1,8,"",1,"",1
