"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
298,"Shadow4","Treat life and death with equal grace, it said. If I were Death, I'd take offense at this place.","Comme le dit l'adage : « traitez la vie et la mort avec la même grâce ». Enfin, si j'étais la Mort, cet endroit serait une insulte.","Man soll Leben wie Tod mit demselben Anstand behandeln, heißt es. Wäre ich der Tod, würde in an diesem Ort Anstoß nehmen.","生と死を同じ品位を持って受け入れろ、と言っていた。もし俺が死だったら、この場所に気分を害するだろうな。","삶과 죽음을 동등하게 바라보라는 말이 적혀있군. 내가 만일 죽음 그 자체라면, 이곳에서 화가 치밀어오를 것 같아.","Dizem para tratar a vida e a morte com a mesma graça. Se eu fosse a Morte, eu ficaria onfendido com esse lugar.","Меня учили в равной мере почитать жизнь и смерть. На месте смерти я бы обиделся.","Trata a la vida y a la muerte con la misma gracia, decía. Si yo fuera la Muerte, este lugar me ofendería.","มัน​เขียน​ว่า​ให้​ปฏิบัติ​ต่อ​ชีวิต​และ​ความ​ตาย​อย่าง​เท่า​เทียม​กัน หาก​ข้า​เป็น​ความ​ตาย ข้า​คง​ไม่​พอใจ​ที่​นี่​แม้แต่​น้อย","俗語說，死神對待生命和死亡要一視同仁。不過呢，換作是我，我會比較激進些。","Audio/Dialogue/Character/DexInt/Event/Shadow_05.ogg","",10000
299,"Shadow5","Not a speck of dust or brick out of place. Someone's got too much time on their hands.","Pas un grain de poussière ou une brique mal placée. Y'en a qui ont beaucoup de temps à perdre.","Kein Staubkorn und kein Ziegel am falschen Platz. Hier hatte jemand anscheinend sehr viel Zeit.","誇りの一粒も、ずれたレンガもない。誰かさんが暇すぎるようだ。","먼지나 삐져나온 벽돌이 전혀 보이지 않아. 관리할 시간이 정말 넉넉한 모양이군.","Nem uma poeira sequer. Cada tijolo no seu devido lugar. Alguém anda com muito tempo livre.","Нет мусора, вокруг ни пылинки. Кому-то явно некуда было время девать.","Ni una mota de polvo ni un ladrillo fuera de lugar. Alguien tiene demasiado tiempo libre.","ที่​นี่​ไม่มี​ฝุ่น​หรือ​ก้อน​อิฐ​ที่​อยู่​ผิด​ที่​ผิด​ทาง​แม้แต่​น้อย เหมือน​ที่​นี่​จะ​มี​คน​ว่าง​เป็น​พิเศษ","這地方連點塵埃和碎磚都沒有，看來有人實在是閒得發慌。","Audio/Dialogue/Character/DexInt/Event/Shadow_06.ogg","",10000
300,"Shadow6","Downed a bad vial of Lethe milk once. It felt just like this place.","Une fois, j'étais dans les vapes après avoir noyé mes problèmes. Eh ben cet endroit me fait le même effet.","Einst erwischte ich eine Flasche mit schlechter Lethe-Milch. Hier fühle ich mich genauso miserabel.","悪くなったレテのミルクを飲んだことがある。この場所と全く同じ感じだったよ。","상한 레테의 젖을 병째로 들이킨 적이 있었지. 여기 있자니 그때와 비슷한 느낌이 들어.","Bebi um frasco de leite podre de Lethe uma vez. Tinha o mesmo gosto que esse lugar.","Однажды мне подсунули прокисшее вино. Здесь у меня очень похожие ощущения.","Una vez tomé un vial de agua de Lete. Se sintió igual que este lugar.","ข้า​เคย​ดื่ม​นม​เลธ​บูด​ไป​หนึ่ง​ขวด มัน​ให้​ความ​รู้สึก​เหมือน​ที่​นี่​เลย","我曾經打翻過一瓶萊斯產的牛奶，氣味就跟這兒差不多。","Audio/Dialogue/Character/DexInt/Event/Shadow_07.ogg","",10000
301,"Shadow7","\""Big\"" just means \""more places to stick a blade\"".","Plus c'est grand, plus j'ai d'endroits où planter ma lame.","\""Groß\"" bedeutet lediglich \""mehr Möglichkeiten, meine Klinge zu versenken\"".","「でかい」ってのは「刃を刺す所が多い」ってだけだ。","덩치가 커봤자 칼을 찔러넣을 구석이 더 많을 뿐이야.","\""Grande\"" só quer dizer \""mais espaço para enfiar uma espada\"".","В большой туше проще делать дырки.","\""Grande\"" solo significa \""más lugares donde apuñalar\"".","\""ใหญ่\"" ก็​แปล​ว่า \""มี​ที่​ให้​เสียบ​อาวุธ​มาก​ขึ้น\"" เพียงเท่านั้น","大個頭不就代表弱點更好找嗎？","Audio/Dialogue/Character/DexInt/Event/Shadow_08.ogg","",10000
302,"Shadow8","I almost feel sorry for you, Fairgraves. Dying twice... can't be fun.","J'ai presque pitié de toi, Fairgraves. Mourir deux fois… ça doit franchement pas être drôle.","Ihr tut mir fast schon leid, Fairgraves. Zweimal zu sterben ... ist gewiss kein Vergnügen.","フェイアグレイヴズ、お前に同情しそうだよ。二度死ぬなんて...…体験したくはないな。","불쌍할 지경이군, 페어그레이브즈. 두 번이나 죽다니... 썩 유쾌하지는 않겠어.","Eu quase sinto pena de você, Fairgraves. Morrer duas vezes não deve... ser divertido.","Фейргрейвс, мне тебя даже жаль... Сгинуть дважды врагу не пожелаешь.","Casi siento pena por ti, Fairgraves. Morir dos veces… no debe ser divertido.","ข้า​เกือบ​เสียใจ​กับ​เจ้า​จริงๆ นะ​แฟร์เกรฟส์ ​ตาย​สอง​ครั้ง​... ไม่น่า​สนุก​แน่ๆ","費爾哥，我還真是為你感到難過。死了兩次肯定不好受。","Audio/Dialogue/Character/DexInt/Event/Shadow_09.ogg","",10000
303,"Shadow9","My first dance with a lady of quality. Pity she let herself go like that.","Ma première danse avec une dame de qualité. Dommage qu'elle se soit laissée aller de la sorte.","Mein erster Tanz mit einer edlen Dame. Nur schade, dass sie sich so hat gehen lassen.","上品な女性との初めての踊りだった。彼女があんな風になってしまったのは残念だよ。","괜찮은 여인과 처음으로 싸워 보는군. 저렇게 변해 버리다니 안타까울 따름이야.","Minha primeira dança com uma moça direita. Pena que ela se largou desse jeito.","Мой первый танец с благородной дамой. Как жаль, что ты уже уходишь.","Mi primer baile con una mujer de categoría. Lástima que se dejó llevar así.","นี่​เป็นการ​ร่าย​รำ​กับ​สตรี​ผู้​สูง​ศักดิ์​เป็น​ครั้ง​แรก น่า​เสียดาย​ที่​เธอ​ปล่อย​ตัว​ไป​แบบ​นั้น","哎，這可是我第一次和上流名媛共舞呢，只可惜她就這樣跑了。","Audio/Dialogue/Character/DexInt/Event/Shadow_10.ogg","",10000
304,"Shadow10","Now that's what you get for bringing a stick to a knife-fight.","Voilà ce qui arrive quand on se bat avec un bout de bois au lieu d'une lame.","Das habt Ihr davon, wenn Ihr einen Messerkampf mit einem Stock austragen wollt.","ナイフ喧嘩に棒きれを持ってくるからだ。","칼싸움에 막대기를 가져오면 그렇게 되는 거야.","Ninguém mandou trazer um pauzinho para uma briga de faca.","Так и бывает, если выйти с палкой против ножа.","Eso es lo que ganas por traer un palo a una pelea de cuchillos.","นี่​คือ​สิ่ง​ที่​แก​ได้​รับ​จาก​การ​เอา​ไม้​มา​สู้​กับ​มีด","拿根棍子就想跟玩刀使劍的拼命？這就是你的下場。","Audio/Dialogue/Character/DexInt/Event/Shadow_11.ogg","",10000
305,"Shadow11","All that flashy sword swinging, when all you need is one good stab.","Toutes ces passes d'armes tape-à-l'œil alors qu'un bon coup bien placé suffit.","Dieses prahlerische Herumgefuchtel ... wo doch ein guter Hieb genügen würde.","あんなに剣をひけらかして。ちゃんとした一刺しで十分なのに。","칼은 빨리 휘두른다고 다가 아니야, 제대로 한 방을 찔러야지.","Ninguém precisa dessa esgrima bonitinha. Eu só preciso de uma boa estocada.","Зачем зря махать железками? Важен один точный удар.","Demasiado movimiento ostentoso de espadas, cuando solo necesitas una buena estocada.","กวาด​ดาบ​บาดตา​ไป​ก็​เท่านั้น แค่​เสียบ​ได้​สัก​ที​มัน​ก็​พอแล้ว","搞花拳繡腿的本事，還不如直接命中要害。","Audio/Dialogue/Character/DexInt/Event/Shadow_12.ogg","",10000
306,"Shadow12","Did the earth move for you, baby? Probably. You hit the ground quite hard.","Quand on s'envoie en l'air, beauté, il faut faire attention à l'atterrissage.","Oje, ist Euch die Erde entgegengekommen ...? Vermutlich. Ihr seid schwer zu Boden gegangen.","昇天したかい？だろうな。結構勢いよく倒れていた。","땅바닥이 스스로 움직이기라도 했어? 너무 아프게 넘어지길래 그런 줄 알았지.","Por acaso a terra se mexeu para você, neném? Provavelmente. Você atingiu o chão com bastante força.","Крошка, твой мир перевернулся? Видно крепко ты ударилась оземь.","¿Se movió la tierra para ti, primor? Probablemente. Golpeaste bastante fuerte al caer.","ปฐพี​สั่น​ไหว​ไป​กับ​เจ้า​ไป​ไหม ที่รัก? คง​แบบ​นั้น​แหละ ก็เธอล้ม​กระแทก​พื้น​แรง​น่า​ดู","小不點，你打得還蠻用力的嘛，地板都給你打得晃動啦。","Audio/Dialogue/Character/DexInt/Event/Shadow_13.ogg","",10000
307,"Shadow13","I like darkness as much as the next assassin, but that was overdoing it.","J'aime l'obscurité autant que n'importe quel assassin, mais là, c'était un peu trop.","Ich mag die Dunkelheit wie den nächsten Assassinen, aber das war übertrieben.","俺はそこらの暗殺者と同じくらい闇が好きだが、あれはやりすぎだった。","조만간 찾아올 암살자만큼이나 어둠을 좋아하긴 하지만, 그쪽은 지나치게 어두워.","Como todo assassino, eu gosto de escuridão... mas isso foi exagero.","Нашему роду темнота на руку, но это было уже слишком.","Me gusta la oscuridad tanto como a cualquier asesino, pero esto fue demasiado.","ข้า​ชอบ​ความ​มืด​เหมือน​กับ​นัก​ลอบฆ่าคน​อื่นๆ นะ แต่​แบบ​นั้น​มัน​ก็​เกิน​ไป​หน่อย","我和另一位暗殺者都熱愛暗處，不過這個完全不是這麼一回事。","Audio/Dialogue/Character/DexInt/Event/Shadow_14.ogg","",10000
308,"Shadow14","Had I killed you back in Oriath, I'd have been showered in gold. Where's the justice, eh?","Si je t'avais tué à Oriath, on m'aurait couvert d'or. Elle est où la justice, hein ?","Hätte ich Euch seinerzeit auf Oriath getötet, wäre ich mit Gold überhäuft worden. Wo bleibt die Gerechtigkeit, hm?","オリアスでお前を殺していたら、浴びるように金貨が手に入っていただろう。不公平だよな？","내가 오리아스에서 당신을 죽였더라면 지금쯤 부귀영화를 누리고 있을 텐데. 아직도 천벌을 안 받았군?","Se eu tivesse te matado em Oriath, eu seria banhado em ouro. Nada de justiça, né?","Убей я тебя на Ориате, сейчас купался бы в золоте. Где справедливость?","Si te hubiese matado en Oriath, me habría bañado en oro. ¿Dónde está la justicia en eso?","หาก​ข้า​สังหาร​แก​ตั้งแต่​ตอน​ที่​อยู่​ที่​โอริอาท ข้า​คง​ได้​ทอง​ท่วม​หัว​แล้ว ไม่​ยุติธรรม​เลย","如果我在奧瑞亞宰了你，我早就家財萬貫了。正義這東西根本就不存在吧？","Audio/Dialogue/Character/DexInt/Event/Shadow_15.ogg","",10000
309,"Shadow15","I try not to take my work personally, but you, Piety, were a satisfying exception.","Mon travail n'est jamais personnel, mais toi, Piété, tu as été une exception des plus satisfaisantes.","Ich versuche, meine Arbeit nicht persönlich zu nehmen, doch Ihr, Piety, wart eine Ausnahme, die mich überzeugt hat.","個人の感情を仕事に持ち込まないようにしているが、パイエティ、お前は大満足の例外だったよ。","내 목표에 되도록 사적인 감정을 가지려고 하지 않지만, 파이어티, 당신은 좋은 쪽으로 그 예외야.","Não tento levar meu trabalho para o lado pessoal, mas no seu caso, Piety, eu abro uma deliciosa exceção.","Вера, я не смешиваю жизнь и работу, но тебя убиваю с радостью.","Trato de no hacer de mi trabajo algo personal, pero tú, Piedad, fuiste una satisfactoria excepción.","ปกติ​ข้า​ไม่​เอางาน​มา​ปน​กับ​เรื่อง​ส่วน​ตัว แต่​พายตี้ ข้า​ช่างสะใจ​นัก​ที่​เจ้า​นั้น​ถือ​เป็น​ข้อ​ยกเว้น","我一直希望在工作上維持公私分明，不過派蒂，妳是個例外。","Audio/Dialogue/Character/DexInt/Event/Shadow_16.ogg","",10000
