"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
322,"GrandmasterSaved","Grandmaster file has been saved. Grinding Gear Games staff will be notified.","Le fichier de Grand maître a été sauvegardé. Le personnel de Grinding Gear Games sera notifié.","Großmeister-Datei wurde gespeichert. Mitarbeiter von Grinding Gear Games werden benachrichtigt.","グランドマスターファイルがセーブされました。Grinding Gear Gamesのスタッフに通知が送られます。","명인 파일이 저장되었습니다. Grinding Gear Games 직원에게 알림을 보냅니다.","O arquivo Grão-Mestre foi salvo. A equipe da Grinding Gear Games será notificada.","Грандмастер файл был сохранён. Разработчик будет уведомлён.","El archivo Gran Maestro ha sido guardado. El personal de Grinding Gear Games será notificado.","บันทึกไฟล์ปรมาจารย์ (Grandmaster) แล้ว พนักงาน Grinding Gear Games จะได้รับแจ้ง","你的資料已經被保存。此份資料將會轉交給相關開發人員。"
323,"LeagueFinishTimeRaceCompleted","You completed the objective of this race. Check the ladder thread to see your ranking.","Vous avez accompli l'objectif de cette course ! Consultez le classement pour découvrir votre place.","Du hast das Ziel dieses Races abgeschlossen. Deine Position findest du in der Rangliste.","このレースの目標を完了しました。ランキングを見るには、ラダーのスレッドを確認してください。","이번 레이스의 목표를 완료했습니다. 래더 스레드에서 순위를 확인하십시오.","Você completou o objetivo dessa corrida. Verifique a o tópico do ranking para ver a sua classificação.","Вы выполнили задачу этой гонки. Проверьте Ладдер, чтобы увидеть свой рейтинг.","Has completado el objetivo de esta carrera. Revisa la clasificación para ver tu ubicación.","คุณได้ผ่านเป้าหมายการแข่งขันนี้แล้ว คุณสามารถตรวจสอบอันดับของคุณได้ในกระทู้ตารางอันดับ","你已經完成此競賽的目標。請至官網上確認你的排名。"
324,"LeagueFinishTimeRaceLogin","You've already completed this race's objective with this character.","Vous avez déjà accompli l'objectif de cette course avec ce personnage.","Du hast das Ziel dieses Races mit diesem Charakter bereits erreicht.","このキャラクターでは既にこのレースの目標を完了しています。","이미 레이스의 목표를 완료한 캐릭터입니다.","Você já completou os objetivos dessa corrida com este personagem.","Вы уже выполнили задачу этой гонки с данного персонажа.","Ya has completado los objetivos de esta carrera con este personaje.","ตัวละครของคุณได้ผ่านเป้าหมายของการแข่งขันนี้เรียบร้อยแล้ว","你已經使用這個角色完成這個競賽中的目標。"
325,"CharacterNotFriendOrGuildmate","That account is not a mutual friend or guildmate.","Ce compte n'est pas un ami commun ou un compagnon de Guilde.","Dieses Konto ist kein gemeinsamer Freund oder Gildenmitglied.","このアカウントは、相互フレンドでもギルド仲間でもありません。","서로 친구 혹은 길드 친구의 계정이 아닙니다.","Essa conta não é de um amigo ou colega de guilda.","Этот аккаунт не в гильдии или в списке друзей.","Esa cuenta no es un amigo mutuo o miembro de hermandad.","บัญชีนั้นไม่ใช่เพื่อนที่มีร่วมกันหรือเพื่อนร่วมกิลด์","此帳號並非共同朋友或是公會成員。"
326,"MapDeviceDisabled","The Map Device is disabled in this league.","La Dispositif cartographique ne peut pas être utilisé dans cette ligue.","Der Kartenapparat ist in dieser Liga deaktiviert.","このマップデバイスは、このリーグでは無効です。","본 리그에서는 지도 장치가 해제됩니다.","O Dispositivo de Mapas está desabilitado nessa guilda.","Машина картоходца отключена в этой лиге.","El Artefacto de Mapas está deshabilitado en esta liga.","ไม่สามารถใช้เครื่องเปิดแผนที่ได้ในลีกนี้","此聯盟中的地圖裝置已經失效。"
327,"PVPTeamDoesNotExist","This PvP team is not registered for this event","Cette équipe de PvP n'est pas inscrite à cet événement.","Dieses PvP-Team ist für dieses Event nicht registriert.","このPvPチームは、イベントに登録していません。","해당 PvP 팀은 본 이벤트에 등록하지 않았습니다.","A equipe PvP não foi registrada para este evento.","PVP команда не принимает участия в этом событии.","Este equipo de JcJ no está registrado para este evento.","ทีม PvP นี้ไม่ได้ลงทะเบียนสำหรับกิจกรรมนี้","這個 PVP 隊伍並無申請此項對戰。"
328,"ForwardedToMasterShard","This request was forwarded to the master database. This request should be dropped with no response.","Cette requête a été transmise à la base de données principale. Cette requête devrait être abandonnée sans réponse.","Die Anfrage wurde zur Meister-Datenbank weitergeleitet. Diese Anfrage sollte ohne Antwort abgegeben werden.","このリクエストはマスターデータベースに送られました。このリクエストへの応答は通常はありません。","마스터 데이터베이스로 요청을 전달했습니다. 해당 요청은 응답이 없으므로 취소될 것입니다.","Esta solicitação foi encaminhada para o banco de dados mestre. Esta solicitação deve ser resolvida sem respostas.","Запрос был отправлен на мастер-сервер. Запрос нужно отменить, если не будет ответа.","Esta solicitud fue enviada a la base de datos maestra. Esta solicitud debería ser descartada sin una respuesta.","คำขอนี้ถูกส่งไปยังฐานข้อมูลหลักแล้ว คำขอนี้จะถูกทิ้งโดยไม่มีการตอบสนอง","此請求已送往主資料庫。此請求將無任何回應。"
329,"PVPTournamentFinished","The tournament is complete.","Le tournoi est terminé.","Dieses Turnier ist beendet.","トーナメントが完了しました。","토너먼트가 끝났습니다.","O torneio foi concluído.","Турнир завершён.","El torneo está completo.","ทัวร์นาเมนต์นี้จบแล้ว","對戰競賽已經完成。"
330,"ErrorNotInHideout","You must be in your Hideout to do this.","Vous devez être dans votre Repaire pour exécuter cette action.","Hierfür musst du in deinem Versteck sein.","この操作は、隠れ家でしか行えません。","은신처에서만 할 수 있는 행동입니다.","Você deve estar em seu Refúgio para fazer isso.","Вы должны быть в убежище, чтобы сделать это.","Debes estar en tu guarida para hacer esto.","คุณต้องอยู่ในที่ซ่อนของคุณเพื่อทำเช่นนี้","你必須在你的藏身處進行此操作。"
331,"ErrorHideoutSuperceded","Hideout modifications are currently disabled. Please create a new Hideout instance and try again.","Les modifications de Repaire sont actuellement désactivées. Veuillez réessayer en créant d'abord une nouvelle instance de ce Repaire.","Das Verändern des Verstecks ist derzeit deaktiviert. Bitte erstelle eine neue Versteck-Instanz und versuche es erneut.","隠れ家の模様替えを現在行うことができません。新しい隠れ家インスタンスを作成してから再度行ってください。","현재 은신처 변경이 불가능합니다. 새로운 은신처 인스턴스를 만들어서 다시 시도해 주십시오.","Modificações de Refúgio atualmente estão desabilitadas. Por favor crie uma nova instância de Refúgio e tente novamente.","Изменения убежища сейчас отключены. Создайте новую область убежища и попробуйте снова.","Las modificaciones de guarida están desactivadas actualmente. Crea una nueva instancia de guarida y vuelve a intentarlo.","ที่ซ่อนนี้ถูกปิดการแก้ไขในปัจจุบัน กรุณาสร้างอินสแตนซ์ที่ซ่อนใหม่แล้วลองแก้ไขอีกครั้ง","藏身處編輯目前無法使用。請重新創立新的藏身處再試一次。"
